,vaga,empresa,localização,salário,requisitos
0,½ Oficial Cozinheiro - Shopping Av. Paulista,ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,"São Paulo, SP",R$ 1.700 - R$ 2.080 por mês,"Jornada: Horário: 14h40 - 23h00, escala das 6x1 com uma folga na semana e um domingo no mês.Descrição das atividades: Principais atividades: Preparo de…"
1,COZINHEIRO- Guarulhos (…,VERO RH,"Guarulhos, SP",R$ 4.163 por mês,"Especificação da Vaga COZINHEIRO - Temporário Ensino médio completo Salário: R$4.163,00 Horário: 3ª a 6ª das 8h às 16h, Sabádos e Domingos das 08h às 17h.…"
2,Cozinheiro Líder,FEETA RH,"São Paulo, SP",R$ 1.500 por mês,"Experiência com cozinha, desejável experiência de liderança, desejável superior completo.R$ 1500,00 + 40% cargo de confiança + 25% adicional noturno."
3,Cozinheiro,Soluzione RH,"São Paulo, SP",R$ 1.678 por mês,"Restaurante com Gastronomia Italiana busca Cozinheiro Com experiência anterior em cozinha italiana e restaurante de porte medio com trabalho em equipe,…"
4,COZINHEIRO (ITAQUERA/SP),VERO RH,"São Paulo, SP",R$ 1.850 por mês,Preferencialmente que tenha trabalhado em cozinha chinesa.
5,cozinheiro industrial,CAS RH,"Mauá, SP",R$ 1.728 por mês,"Cozinheiro industrial para trabalhar em Mauá Salário de 1.728,00 de segunda a sexta das 06h00 ás 15h48 CANDIDATOS INTERESSADOS ENTRAR EM CONTATO PELO…"
6,Subchefe de Cozinha,PROATIVA RH,"São Paulo, SP",,Garantir que os pratos saiam dentro do padrão;
7,Cozinheira GRAJAU,O Amanhã RH,"Zona Sul de São Paulo, SP",R$ 1.643 por mês,"Número de vaga(s): 1 | Data de entrada: 06/04/2022 Atendimento | Analista | | Preparar refeições sob supervisão de nutricionista, de modo que assegure a…"
8,Cozinheiro,Consult RH,"Caieiras, SP",R$ 1.451 - R$ 2.010 por mês,Principais Atividades: - Elaboração de cardápios - Criação de Pratos - Coordenação de equipe de cozinha - Elaboração das fichas técnicas - Administração…
9,Vagas de emprego: ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,ENFOK CONSULTORIA DE RH E MARKETING PROMOCIONAL,"São Paulo, SP",R$ 1.700 - R$ 2.080 por mês,"Jornada: Horário: 14h40 - 23h00, escala das 6x1 com uma folga na semana e um domingo no mês.Descrição das atividades: Principais atividades: Preparo de…"
