,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,Accenture,Accenture,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Desenvolver, criar e modificar a plataforma ServiceNow para uso do cliente com o objetivo de otimizar a eficiência operacional.",
1,Vagas de emprego: Esferas Software,Esferas Software,"São Paulo, SP",R$ 3.000 por mês,PostedRecém publicada,2022-05-06,"Goste de apreender e compartilhar conhecimentos.Sistema híbrido (geralmente 1 vez por semana presencial na Vila Olímpia, São Paulo - SP).",
2,Vagas de emprego: TradeUp Group,TradeUp Group,"Barueri, SP",R$ 2.500 - R$ 8.500 por mês,PostedRecém publicada,2022-05-06,Desenvolvedor Back end e Full Stack.Capacidade de compreender e questionar requisitos - Capacidade de elaboração de testes automatizados.,
3,Vagas de emprego: KAVAK Careers,KAVAK Careers,"São Paulo, SP",,PostedRecém publicada,2022-05-06,"KAVAK é o N°1 de comércio eletrônico para compra e venda de veículos na América Latina, projetado como uma das maiores empresas da região.",
4,Sinqia,Sinqia,"Home office in São Paulo, SP",,PostedHoje,2022-05-06,"A Sinqia, provedora da experiência mais desejada em tecnologia para o mercado financeiro no Brasil, está em busca de uma Pessoa Desenvolvedora JR para compor…",
5,Vagas de emprego: One Digital,One Digital,"Osasco, SP",,Postedhá 2 dias,2022-05-06,Atividades: Usar linguagem HTML para criar páginas de internet e peças de e-mail marketing de fácil utilização; Manter e aprimorar landing pages; Otimizar…,
6,Softplan,Softplan,"São Paulo, SP",,PostedRecém publicada,2022-05-06,Somos uma das maiores desenvolvedoras de software do país e atuamos diariamente para promover transformações fundamentais na vida de milhares de pessoas que são…,
7,Vagas de emprego: Foster,Foster,"São Paulo, SP",R$ 1.500 - R$ 2.000 por mês,Postedhá 18 dias,2022-05-06,"Foster, empresa do Grupo WPP que atua nos segmentos Web e Mobile, seleciona Estagiário em Programação Front-End.Benefícios Vale-transporte se necessário.",
8,Vagas de emprego: Gen Designs,Gen Designs,"São Paulo, SP",R$ 2.500 - R$ 3.500 por mês,Postedhá 3 dias,2022-05-06,Requisitos Conhecimentos sólidos em: HTML; CSS; Javascript; Hospedagem de sites.Desejável Conhecimentos em Frameworks: React js e Angular.,
9,Vagas de emprego: Targetware Informática,Targetware Informática,"Home office in São Paulo, SP",R$ 4.000 - R$ 5.600 por mês,Postedhá 8 dias,2022-05-06,"Estamos à procura de um desenvolvedor Front End que possa utilizar Bootstrap, HTML5, CSS e Javascript para desenvolver aplicativos, interfaces de usuário…",
