,vaga,empresa,localização,salário,requisitos
0,Vagas de emprego: BANCO BBC Digital,BANCO BBC Digital,"São Paulo, SP",,Desejável experiência em construção de Dashboards em PowerBI.
1,Vagas de emprego: Centro de Estética Seventh,Centro de Estética Seventh,"São Paulo, SP",R$ 2.000 - R$ 2.500 por mês,Atender as solicitações (atendimento aos chamados);Instalação e manutenção em sistemas;
2,Schneider Electric,Schneider Electric,"São Paulo, SP",,"The Data Collection Associate I will work with suppliers and customer contacts to obtain copy invoices, which can come via various mechanisms, setting up on…"
3,Grupo Card,Grupo Card,"São Paulo, SP",R$ 2.958 - R$ 3.500 por mês,Analisar dados para tomada de decisões da diretoria da empresa;Excel - Intermediário para o Avançado.
4,Farma Conde,Farma Conde,"São Paulo, SP",R$ 2.700 - R$ 3.200 por mês,"Implementar novas funcionalidades que facilitem o dia a dia dos usuários.Acompanhar os chamados do início ao fim, procurando a melhor solução."
5,Vagas de emprego: A Gente Faz Terceirização,A Gente Faz Terceirização,"São Paulo, SP",R$ 2.000 por mês,"REQUISITOS: HABILIDADE EM DASHBOARD TRATAMENTO DE INFORMAÇÕES CONHECIMENTO EM EXCEL, POWER BI E PYTHON PACOTE OFFICE Atividades desenvolvidas: *…"
6,Vagas de emprego: Allcare Gestora de Saúde,Allcare Gestora de Saúde,"São Paulo, SP",,Criação de novas rotinas de ETL.
7,Kroton,Kroton,"São Paulo, SP",,"Auxiliar no suporte e processos da ferramenta de CRM.Ter vivência em sustetanção e suporte de ferramentas.Temos diversas unidades espalhadas pelo Brasil, mas…"
8,Vagas de emprego: Neo Negócíos & Carreira,Neo Negócíos & Carreira,"São Paulo, SP",R$ 1.333 - R$ 4.200 por mês,"Experiência em SQL, ou outras linguagens de banco de dados similares.Experiência em suporte a clientes/fornecedores (desejável)."
9,Vagas de emprego: RUFINO HR CONSULTING,RUFINO HR CONSULTING,"Home office in São Paulo, SP",R$ 3.500 por mês,"Pacote office avançado, BI intermediário, SAS básico, Python intermediário e banco de dados intermediário.Local: * Home Office, com disponibilidade de ir até a…"
10,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Garantir que as métricas dos produtos andem alinhadas com os objetivos da empresa.
11,Vagas de emprego: Avita,Avita,"São Paulo, SP",,Desenhar os processos de integração de dados considerando o uso de SQL.
12,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Responsabilidades: Auxiliar no suporte do processo de entrada de novos sellers na plataforma; Responsável pela solução de problemas referente ao cadastro dos…
13,Kroton,Kroton,"São Paulo, SP",,Participar de projetos de alta relevância para a Kroton – Engajamento (Customer Success);Bolsa graduação/pós-graduação nas marcas Kroton.
