,vaga,empresa,localização,salário,requisitos
0,Estagiário Precificação e Índices,Anbima,"São Paulo, SP",,"Noções de programação (VBA, Python, SQL, Matlab).Bolsa estágio compatível com o mercado."
1,5915 - Cientista de Dados,GLOBAL HITSS,"São Paulo, SP",,"Somos uma empresa do grupo América Móvil, com mais de 30 anos de experiência no mercado de soluções digitais e serviços de TI na América Latina e Estados…"
2,Analista Desenvolvedor Python,Shopee,"São Paulo, SP",,VBA e JavaScript serão considerados diferenciais.Capacidade de trabalhar em um ambiente multifuncional e colaborativo.
3,Desenvolvedor PYTHON,LLIEGE,"São Paulo, SP",R$ 6.000 por mês,"Atuar com programação Fullstack, Django, consumo de APIS REST, bancos de dados, JavaScript, jQuery, HTML e CSS."
4,Desenvolvedor Python Sênior,Innolevels,"São Paulo, SP",R$ 6.500 - R$ 10.000 por mês,Automação de rotinas a frameworks completos de desenvolvimento web.
5,Desenvolvedor Python,Iterative,"São Paulo, SP",,Conhecimento técnico avançado em desenvolvimento (Python);
6,Desenvolvedor JR Backend (Java/Python/NodeJS)- Fintech Magal...,Luizalabs,"São Paulo, SP",,Aplicar e difundir as boas práticas de segurança no projeto;Conhecimento nas linguagens Java e/ou Python e/ou NodeJS;Versionamento de projetos com GIT;
7,Desenvolvedor Web,Evoi Publicidade,"São Paulo, SP",R$ 2.100 por mês,Colaborar com automação de processos em plataformas de marketing.
8,Estágio Full Stack,2RP Net,"Home office in São Paulo, SP",,"Alguma linguagem de programação (C, Java, C#, PHP, etc);Outras linguagens e tecnologias (PHP, C#, Java, Python, Node.js, Golang, etc);"
9,"Intern, Forensic Investigations and Intelligence",Kroll,"São Paulo, SP",,"Tecnologia da Informação, Análise de Sistemas, Banco de Dados Data Science, Big Data & BI, Tecnologia em Banco de Dados, ou áreas correlatas."
10,Pessoa Desenvolvedora de Back End Jr,Enext,"Home office in São Paulo, SP",,"Configurar serviços (VM, banco de dados, lambda) simples em diferentes clouds como AWS, Azure e Google Cloud Platform;"
11,ANALISTA DE DADOS JUNIOR,A Gente Faz Terceirização,"São Paulo, SP",R$ 2.000 por mês,"REQUISITOS: HABILIDADE EM DASHBOARD TRATAMENTO DE INFORMAÇÕES CONHECIMENTO EM EXCEL, POWER BI E PYTHON PACOTE OFFICE Atividades desenvolvidas: *…"
12,Cientista de Dados,Liv Up,"Home office in São Paulo, SP",,"Utilizando nossa plataforma de dados, nosso time constrói produtos que utilizam algoritmos de Machine Learning e otimização de restrições para encantar nossos…"
13,Data Analyst,Capim,"Home office in São Paulo, SP",R$ 5.000 - R$ 10.000 por mês,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Identificar desafios e oportunidades de negócio e usar ferramentas…
14,Software Developer - Python,IBM,"São Paulo, SP",,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
15,Analista de Dados Pleno - Home Office,RUFINO HR CONSULTING,"Home office in São Paulo, SP",R$ 3.500 por mês,"Pacote office avançado, BI intermediário, SAS básico, Python intermediário e banco de dados intermediário.Local: * Home Office, com disponibilidade de ir até a…"
16,Data Scientist Jr,Remessa Online,"Home office in São Paulo, SP",,"Como será o dia a dia.Desenvolver decisores no produto, compliance, e CRM por meio de modelagem estatística aplicada (Sistemas de detecção de fraude, Score de…"
17,Estagiário de Dados,Safira Energia,"Home office in Barueri, SP",,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…"
18,[Python] - Software Engineer,Revelo Network,"Home office in São Paulo, SP",,"Estamos em busca de um profissional de Software de Engineer Requisitos Técnicos Python, Aws, Postgresql Requisitos técnicos obrigatórios: Inglês Fluente +4…"
19,Analista de Service Desk Júnior,CCEE,"Home office in São Paulo, SP",,Pessoas com deficiência são bem-vindas em nosso time.Será responsável por atender os chamados internos e externos de 1º nível e 2º(presencial ou remoto) de…
20,Analista/Desenvolvedor Python RPA,Orangefox,"Home office in São Paulo, SP",,"Experiência comprovada com o mínimo de 2 (dois) anos atuando em projetos;Sólidos conhecimentos em Python, SQL, Github e Excel;"
21,Estágio Machine Learning,2RP Net,"Home office in São Paulo, SP",,Desenvolver processos de ML Engineering;Aprender a monitor a qualidade de modelos de ML usando técnicas estatísticas avançadas;
22,Estágio (Indicadores),MetLife,"São Paulo, SP",,"Elaboração dos indicadores da área;Principais responsabilidades ou desafios: (Escreva no mínimo 5).Acompanhamento de sinistros da carteira de Vida, AP e…"
23,Desenvolvedor Python,BCF SOLUTIONS,"São Paulo, SP",,"Experiência com Python, Flask, Django, Docker e SQL.Compreensão da arquitetura e dos princípios de IoT.Python por 3 anos (Preferencial)."
