,vaga,empresa,localização,salário,requisitos
0,Gerente de RH - Jaraguá,Unic RH,"São Paulo, SP",,"Consultoria de Recursos Humanos admite Gerente de RH em São Paulo (Jaraguá) para atuar em Tempo integral, De segunda à sexta Responsável por gerir pessoas.…"
1,GERENTE DE RH - SUPERIOR COMPLETO,,"São Paulo, SP",,Vivência no segmento de transportes será considerada obrigatório para esta vaga.
2,Gerente de RH,Unic RH,"São Paulo, SP",,Vivência no segmento de transportes será considerada obrigatório para esta vaga;
3,Gerente RH - SAC,KPMG,"São Paulo, SP",,"Perfil inovador, que pense fora da caixa, escute as pessoas, que multiplique conhecimento, sendo um referencial para o time em questões técnicas ou de…"
4,Gerente de RH,Emporium de Thalentos,"São Paulo, SP",R$ 8.000 por mês,"GERENTE DE RH para segmento de mercado LUXO (bens duráveis), presencial SP / Capital Perfil generalista, com histórico de reconhecimento de uma liderança…"
5,Coordenador de RH,Sklep Consultoria,"São Paulo, SP",R$ 5.000 por mês,"Estamos presentes em todo território brasileiro com grande força no eixo sudeste.Atuando com sucesso no mercado há mais 30 de anos, trabalhando com soluções…"
6,Gerente de Operações de RH (DP),AMARO,"São Paulo, SP",,"A AMARO é uma empresa de tecnologia e uma marca de moda nativa digital que inova como as pessoas descobrem, compram e experimentam a moda. Sediada em São Paulo…"
7,Coordenador (a) de RH,Beyond HR,"São Paulo, SP",,"Aos colaboradores, assim como o cálculo dos encargos trabalhistas."
8,Gerente de Recursos Humanos,FECAF,"Taboão da Serra, SP",,"Atuar na estruturação e gestão do departamento de Recursos Humanos. Desenvolver, documentar e implementar planos de carreiras. Elaborar sistemas de…"
9,Gerente de RH,G4 Global Partners,"São Paulo, SP",,"Elaborar ações de pesquisa de clima organizacional para mensurar a satisfação dos colaboradores, ações de endomarketing."
10,Coordenador de RH - People Analytics,Ecogen Brasil,"Hybrid remote in São Paulo, SP",,Graduado em Administração | Contábeis | Economia ou afins;
11,Gerente de RH,Michael Page,"São Bernardo do Campo, SP",,Salvar Vaga Compartilhe essa vaga Voltar à pesquisa Descrição Resumo Empregos Similares Atualizada 27/01/2022 Implantação de todos os subsistemas de RH…
12,Gerente de RH,People Talent,"São Paulo, SP",,Nível: Gerente Área: Recursos Humanos Escolaridade: MBA - Completo Tipo de contrato: CLT Jornada de trabalho: Horário Comercial Benefícios: Participação nos…
13,Coordenador de DP,YouTalent Consultoria,"São Paulo, SP",R$ 3.468 - R$ 6.657 por mês,"*Local São Paulo. Hibrido* Supervisionar e executar os serviços de administração de pessoal, coordenar o departamento pessoal, apurar folha de pagamento,…"
14,Coordenador de RH - People Analytics,Ecogen,"Hybrid remote in São Paulo, SP",,Graduado em Administração | Contábeis | Economia ou afins;
15,Gerente de Projetos de RH - Multinacional do setor de fabric...,Michael Page,"São Paulo, SP",,Realizar o planejamento das iniciativas estratégicas de RH alinhadas à estratégia da empresa;Formação preferencialmente em engenharia ou áreas correlatas.
16,Gerente de Recursos Humanos,Sustenidos,"Home office in São Paulo, SP",,Supervisionar o trabalho executado pela equipe;Intermediar negociações com os Sindicatos da categoria;
