,vaga,empresa,localização,salário,requisitos
0,Vagas de emprego: CDI Comunicação,CDI Comunicação,"São Paulo, SP",R$ 2.000 - R$ 2.500 por mês,Indispensável ter conhecimento avançado em Excel.
1,Vagas de emprego: Método treinamentos,Método treinamentos,"São Paulo, SP",R$ 1.700 por mês,A empresa oferece benefícios e refeição no local.Ter disponibilidade para trabalhar aos sábados sob escala.
2,Vagas de emprego: Desenvolva+,Desenvolva+,"São Paulo, SP",R$ 1.499 - R$ 1.500 por mês,"ATIVIDADES Triagem de curriculos, responsavél pelo recolhimento da documentação, envio para exame medico, triagens de curriculo, entrevistas, dinamicas,…"
3,Vagas de emprego: iMove Carreira,iMove Carreira,"São Paulo, SP",R$ 4.000 por mês,Gestão dos benefícios dos colaboradores;Auxílio no processo de avaliação de desempenho;Mapeamento de competências (existentes e inexistentes) nos diferentes…
4,Vagas de emprego: CDT RH Consultoria,CDT RH Consultoria,"São Paulo, SP",R$ 5.000 - R$ 7.000 por mês,"Irá ser responsável pela área de marketing generalista, endomarketing, contato com agência, imprensa, campanhas, eventos, entre outros. Tipo de vaga: Tempo…"
5,Vagas de emprego: CONNECTABIL RH,CONNECTABIL RH,"Tatuapé, SP",R$ 2.000 - R$ 2.500 por mês,"*_Atividades: _* Admissão; Demissão; Fechamento de Folha; Cálculo de Horas Extras; Férias, envio de sefip, Caged, Rais, elaboração das guias de FGTS, GPS, e…"
6,Vagas de emprego: CDT RH Consultoria,CDT RH Consultoria,"São Paulo, SP",R$ 7.000 - R$ 8.000 por mês,"Irá atuar com todas rotinas de tesouraria, financeiro, fluxo de caixa, entre outros. Tipo de vaga: Tempo integral, Efetivo CLT Salário: R$7.000,00 - R$8.000…"
7,Americas Serviços Médicos,Americas Serviços Médicos,"São Paulo, SP",,"Graduação completa na área da saúde;Nosso compromisso é promover uma cultura de inclusão da diversidade, que capacita nossos colaboradores a contribuir com o…"
8,STAREX EMERGENCIAS MEDICAS,STAREX EMERGENCIAS MEDICAS,"São Paulo, SP",R$ 2.241 por mês,Respostas apenas SIM ou NÃO não serão consideradas no processo seletivo.
9,RECOMA CONSTRUÇÕES,RECOMA CONSTRUÇÕES,"São Paulo, SP",R$ 1.879 - R$ 2.900 por mês,"Precisamos de um Analista de RH com conhecimento Pacote Office, Programa Sefip, encargos, impostos. Experiencia da rotina completa de Departamento Pessoal.…"
