,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
0,Desenvolvedor Java,Innolevels,"São Paulo, SP",R$ 3.600 - R$ 5.600 por mês,EmployerAtiva 5 dias atrás,2022-05-01,Junit ou outras ferramentas de Teste.Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.,https://www.br.indeed.com/company/Innolevels/jobs/Desenvolvedor-Java-fa60f4f0a5ebfe11?fccid=b98f3184c24b89e7&vjs=3
1,Assistente de TI (Banco de Dados),Entreposto,"São Paulo, SP",R$ 1.800 - R$ 2.100 por mês,Postedhá 8 dias,2022-05-01,Conhecimento em banco de dados (SQL) - Java diferencial.Informações adicionais: Fácil acesso para região da Cidade Jardim.,https://www.br.indeed.com/company/Entreposto/jobs/Assistente-Ti-618588ac7e424b38?fccid=cca535f34e2811bf&vjs=3
2,Desenvolvedor(a) Java PL,Recrutamento Externo,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Sua missão será desenvolver softwares seguros, de alta performance e com qualidade (Clean Code);Análise e desenvolvimento de serviços customizados com…",https://www.br.indeed.com/rc/clk?jk=4da65d3a23dc3195&fccid=039df17d98633a49&vjs=3
3,Pessoa Desenvolvedora Backend Pleno (JAVA),Mercado Bitcoin,"Home office in São Paulo, SP",,Postedhá 10 dias,2022-05-01,Desenvolver software (com testes) pronto para produção;Manter os serviços em pleno funcionamento;Experiência com desenvolvimento de software escalável e…,https://www.br.indeed.com/rc/clk?jk=c56536bf16419252&fccid=9283371e84986535&vjs=3
4,ESPECIALISTA JAVA,Bionexo,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,A *Bionexo* é uma *healthtech* brasileira que há mais de 20 anos atua no modelo Software as a Service (SaaS) e oferece tecnologia de alta performance para a…,https://www.br.indeed.com/company/BIONEXO/jobs/Especialista-Java-f1f28525a9e92132?fccid=e192ae7dca91cd4c&vjs=3
5,DESENVOLVEDOR JAVA FULL STACK JÚNIOR,Infotera Tecnologia,"São Paulo, SP",R$ 3.000 - R$ 4.000 por mês,EmployerAtiva 5 dias atrás,2022-05-01,"Experiência com desenvolvimento utilizando git, trabalho em equipe com metodologias ágeis(scrum/kanban).",https://www.br.indeed.com/company/Infotera-Tecnologia/jobs/Desenvolvedor-Java-Full-Stack-J%C3%BAnior-dc79c72ec5059fd0?fccid=ae8f866c46dd46a9&vjs=3
6,Desenvolvimento Java Sênior,GFT Technologies SE,"São Paulo, SP+2 locais",,Postedhá 3 dias,2022-05-01,"Banco de Dados: MS SQL, ORACLE ou Postgre (procedures, views, PL).Atuação hibrida (3x presencial na semana).",https://www.br.indeed.com/rc/clk?jk=c5c685ad84cd7c70&fccid=9c7e8e5419364b6c&vjs=3
7,Pessoa Desenvolvedora Java,Accenture,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Tenham experiência em desenvolver com um projeto do setup à produção;Tenham xperiência com Integração/entrega contínua, com Jenkins ou outro;",https://www.br.indeed.com/rc/clk?jk=4a4a71a78bcb14dd&fccid=a4e4e2eaf26690c9&vjs=3
8,Desenvolvedor Java,Doyensys Inc,"Brás, SP",R$ 2.732 - R$ 8.000 por mês,EmployerAtiva 6 dias atrás,2022-05-01,"O Acompanhamento de times terceiros no dia a dia.O Avaliação, Integração e Implantação de softwares e pacotes de terceiros.O Execução de code-reviews.",https://www.br.indeed.com/company/Yochana-IT-Solutions/jobs/Desenvolvedor-Java-2586d4f3dd1558f5?fccid=0f36fadf3b4193a2&vjs=3
9,Pessoa Desenvolvedora Java Junior,Job Boards,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Programação Estruturada e Orientada a Objetos (Java obrigatório);Conhecimento de Dados em Banco de Dados Oracle.,https://www.br.indeed.com/rc/clk?jk=4af0e62db9ae8308&fccid=56879fb77e76baab&vjs=3
10,Desenvolvedor Java,JR Consultoria,"Home office in São Paulo, SP",R$ 7.000 - R$ 13.000 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"A CPQi fornece serviços de consultoria e possui expertise para ajudar os nossos clientes no setor financeiro a oferecer melhores serviços aos seus usuários,…",https://www.br.indeed.com/company/JR-Consultoria/jobs/Desenvolvedor-Java-c4f7827a245f87f1?fccid=0a37283052480282&vjs=3
11,Java Developer - FinTech Solutions,Unlimint,"Hybrid remote in São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Fundada em 2009, a Unlimint é uma fintech global com 16 escritórios em todo o mundo e mais de 400 funcionários, que oferece uma grande carteira de serviços…",https://www.br.indeed.com/rc/clk?jk=56aeb0a4329dc3de&fccid=fa91f0904f6b0101&vjs=3
12,Analista Desenvolvedor Java,BCF SOLUTIONS,"São Paulo, SP",,EmployerAtiva 12 dias atrás,2022-05-01,"UML (leitura de diagramas de classes, sequencias, atividades, implantação).Conhecimentos em metodologia ágil Scrum;Java de 3 anos (Obrigatório).",https://www.br.indeed.com/company/BCF-SOLUTIONS/jobs/Analista-Desenvolvedor-Java-60a36c656cf75385?fccid=81f31aca5d0b9ef9&vjs=3
13,Desenvolvedor(a) Java PL Sao Paulo / SP,Yaman,"São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Sua missão será desenvolver softwares seguros, de alta performance e com qualidade (Clean Code);Análise e desenvolvimento de serviços customizados com…",https://www.br.indeed.com/rc/clk?jk=2f0efb8f4d3e2172&fccid=33653b725b362ef8&vjs=3
14,Desenvolvedor Júnior Java Back-end,Segware,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Estamos buscando desenvolvedores JAVA que irão fazer parte do nosso talentoso time de desenvolvimento de soluções web/cloud.,https://www.br.indeed.com/rc/clk?jk=ba10abbaeae367a0&fccid=83b27524bd6fd705&vjs=3
15,INEX,INEX,"São Paulo, SP",,Postedhá 25 dias,2022-05-01,"Experiência com CD/CI: Jenkins, GitLab, Sonar, Jira, Artifactory.",
16,Vagas de emprego: NAVA - Technology for Business,NAVA - Technology for Business,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Experiência com a linguagem JAVA (8 até 11);Conhecimentos em banco de dados, como executar query, procedures;Graduação em áreas TI ou cursando último ano.",
17,Vagas de emprego: Job Boards,Job Boards,"Home office in São Paulo, SP",,Postedhá 24 dias,2022-05-01,Programação Estruturada e Orientada a Objetos (Java obrigatório);Conhecimento de Dados em Banco de Dados Oracle.Home Office – 3 dias na semana (pós pandemia);,
18,Vagas de emprego: NAVA - Technology for Business,NAVA - Technology for Business,"Home office in São Paulo, SP",,Postedhá 12 dias,2022-05-01,Garantir a execução das boas práticas de desenvolvimento.Experiência mínima de 1 ano.Sólida Experiência com Backend: Java e Spring framework (Springboot e…,
19,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 9.000 - R$ 11.700 por mês,EmployerAtiva 11 dias atrás,2022-05-01,"Se você tem conhecimento em *python, kotlin, javscript; vert.x, quarkus; JPA/Hibernate; Api-first;Swagger; Json; APIGee/Kong; Kubernetes;Google Firebase; OpenID…",
20,Segware,Segware,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,Desenvolvedor Full Stack Java Junior/Pleno.Atuar com desenvolvimento de interfaces web utilizando Framework Angular.Desenvolvimento de API Rest com Java.,
21,Vagas de emprego: EPSOFT SISTEMAS LTDA,EPSOFT SISTEMAS LTDA,"Home office in São Paulo, SP",R$ 3.000 - R$ 5.000 por mês,EmployerAtiva 5 dias atrás,2022-05-01,Desenvolvimento de microserviços em Java;Conhecimento básico em arquiteturas em nuvem AWS;,
22,EY,EY,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Como Analista Desenvolvedor Java na área de Data & Analytics, você ajudará nossos clientes, visando otimizar tempo e recursos.",
23,Cognizant,Cognizant,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Atuar com equipes globais para implementar iniciativas de modernização acelerada;,
24,MJV,MJV,"São Paulo, SP",,Postedhá 26 dias,2022-05-01,"Java (a partir da versão 8);Bons conhecimentos no desenvolvimento de APIs RESTful;Conhecer RabbitMQ e seus conceitos (Exchanges, Filas, etc...);",
25,Global TI,Global TI,"Hybrid remote in São Paulo, SP",,Postedhá 29 dias,2022-05-01,Ser focado em qualidade de código e boas práticas de programação.Conhecimentos em Backend Java e Spring framework (Springboot e Spring Cloud).,
26,Vagas de emprego: Valtech,Valtech,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,Participar do desenho técnico para novos requisitos.Participar de convenções de desenvolvimento e definição de padrões.,
